id do Tweet,link permanente do Tweet,texto do Tweet,horário,impressões,interações,taxa de envolvimento,retweets,respostas,favoritos,cliques no perfil do usuário:,cliques no URL,cliques em hashtags:,expansões de detalhes:,cliques no link permanente,aberturas de aplicativos,instalações de aplicativo:,seguiram,Tweet enviado por e-mail,número de telefone discado,visualizações da mídia,engajamentos com mídia,impressões promovido(a)(s),interações promovido(a)(s),taxa de envolvimento promovido(a)(s),retweets promovido(a)(s),respostas promovido(a)(s),favoritos promovido(a)(s),cliques no perfil do usuário: promovido(a)(s),cliques no URL promovido(a)(s),cliques em hashtags: promovido(a)(s),expansões de detalhes: promovido(a)(s),cliques no link permanente promovido(a)(s),aberturas de aplicativos promovido(a)(s),instalações de aplicativo: promovido(a)(s),seguiram promovido(a)(s),Tweet enviado por e-mail promovido(a)(s),número de telefone discado promovido(a)(s),visualizações da mídia promovido(a)(s),engajamentos com mídia promovido(a)(s)
1009844402917867520,https://twitter.com/camaradeputados/status/1009844402917867520,Comissão obriga fornecedor a informar sobre inexistência de assistência técnica de produto. https://t.co/jbKgwJBeQq,2018-06-21 17:04 +0000,5958.0,9.0,1.51E+21,1.0,1.0,5.0,0.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1009848522588479488,https://twitter.com/camaradeputados/status/1009848522588479488,Aprovada advertência em medicamentos de uso exclusivo pelo SUS. Proposta pretende impedir a comercialização indevida de remédios desviados. https://t.co/rkY0dfuJmq @cssf_seguridade #Saúde,2018-06-21 17:20 +0000,5133.0,4.0,7.79E+13,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1009852338218131459,https://twitter.com/camaradeputados/status/1009852338218131459,Comissão rejeita proposta que considera contravenção penal pessoa trans usar banheiro do novo gênero. https://t.co/RlwvT39V9L,2018-06-21 17:35 +0000,10596.0,125.0,1.18E+20,10.0,15.0,24.0,4.0,35.0,0.0,37.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1009916568640413697,https://twitter.com/camaradeputados/status/1009916568640413697,"A proposta estabelece ainda que, em qualquer contato telefônico, deverá será informada uma tecla para interromper a chamada e automaticamente remover o consumidor do cadastro de telemarketing da empresa por quatro meses.",2018-06-21 21:50 +0000,7001.0,53.0,757034709327239,7.0,4.0,31.0,0.0,0.0,0.0,11.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1009916443843088385,https://twitter.com/camaradeputados/status/1009916443843088385,Comissão aprova projeto que permite ao consumidor manifestar a vontade de não receber ligações telefônicas ou mensagens de texto com ofertas de produtos e serviços.  https://t.co/ZqcnVjVdl3 #DireitosDoConsumidor,2018-06-21 21:50 +0000,10022.0,118.0,1.18E+21,18.0,6.0,50.0,2.0,20.0,3.0,19.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1009939700440862720,https://twitter.com/camaradeputados/status/1009939700440862720,"De acordo com o texto, fica assegurado a alunos de instituições públicas ou privadas, em qualquer nível, o direito de ausentar-se de prova ou aula marcada para data em que, segundo seus preceitos religiosos, seja proibido o exercício de atividades.",2018-06-21 23:22 +0000,7927.0,53.0,6.69E+20,6.0,3.0,19.0,3.0,0.0,0.0,22.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1009939520710696960,https://twitter.com/camaradeputados/status/1009939520710696960,Comissão aprova proposta que garante falta à escola por motivo religioso. https://t.co/j0gFjXxFDp,2018-06-21 23:22 +0000,11231.0,69.0,6.14E+20,5.0,11.0,18.0,3.0,13.0,0.0,19.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1009940007103197184,https://twitter.com/camaradeputados/status/1009940007103197184,"Mas o exercício desse direito fica condicionado à apresentação de um requerimento contendo os motivos alegados. A regra não é válida para o chamado ensino militar, como os cursos de formação dos oficiais das Forças Armadas.",2018-06-21 23:23 +0000,6493.0,27.0,4.16E+21,3.0,3.0,11.0,1.0,0.0,0.0,9.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1010205014168686594,https://twitter.com/camaradeputados/status/1010205014168686594,"Prisão após condenação em segunda instância, fim das indicações políticas para ministros de tribunais superiores e integração das polícias estão entre os temas propostos em seminário na Câmara. Saiba mais: https://t.co/p6o7aVfTQd #Segurança",2018-06-22 16:56 +0000,8078.0,67.0,8.29E+20,11.0,11.0,24.0,3.0,9.0,1.0,8.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1010208914745577472,https://twitter.com/camaradeputados/status/1010208914745577472,Comissão aprova fundo de desenvolvimento de reservas garimpeiras. O objetivo é financiar projetos de uso racional dos recursos ambientais e promoção social das populações garimpeiras. https://t.co/v9Nlm1uY4x #MeioAmbiente,2018-06-22 17:12 +0000,5475.0,6.0,1.10E+20,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
