Número de identificação da publicação,Link permanente,Publicar mensagem,Tipo,Países,Idiomas,Publicado,Direcionamento do público,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%,Lifetime Paid views to 95%,Lifetime Paid views to 95%,Lifetime Organic Video Views,Lifetime Organic Video Views,Lifetime Paid Video Views,Lifetime Paid Video Views,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - photo view,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - photo view,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Negative Feedback from Users by Type - hide_all_clicks,Lifetime Negative Feedback from Users by Type - hide_clicks,Lifetime Negative Feedback from Users by Type - unlike_page_clicks,Lifetime Negative Feedback from Users by Type - report_spam_clicks,Lifetime Negative Feedback by Type - hide_all_clicks,Lifetime Negative Feedback by Type - hide_clicks,Lifetime Negative Feedback by Type - unlike_page_clicks,Lifetime Negative Feedback by Type - report_spam_clicks,,
316136345150243_1846670592096803,https://www.facebook.com/camaradeputados/posts/1846670592096803,Leite que não estiver de acordo com as normas ambientais similares às brasileiras não poderá ser importado. O PL foi aprovado em comissão e segue para o Senado Federal https://goo.gl/jvHRte,Photo,,,10/25/2018 6:32:00 AM, ,8376,8376,0,10354,10354,0,307,228,316,4,4,8675,7003,0,0,270,0,0,0,0,0,0,0,0,0,0,22,103,32,24,110,53,201,37,3,,270,42,4,,,4,,,,4,,,,
316136345150243_1826344607462735,https://www.facebook.com/camaradeputados/posts/1826344607462735,"Para ter direito à isenção, as doações deverão ser efetuadas a entidades civis sem fins lucrativos que prestem serviços de proteção aos animais. O limite máximo é de 4% do imposto devido. https://goo.gl/Fh1MxY",Photo,,,10/24/2018 3:06:00 PM, ,22246,22246,0,29159,29159,0,1189,513,642,5,5,9346,7207,0,0,323,0,0,0,0,0,0,0,0,0,0,251,778,51,260,817,81,397,110,40,,493,109,40,,1,4,,,1,4,,,,
316136345150243_1842851205812075,https://www.facebook.com/camaradeputados/posts/1842851205812075,A ideia é identificar necessidades dos brasileiros com transtorno autista para que sejam elaboradas e efetuadas ações e políticas efetivas para os portadores do Transtorno. Projeto segue para o @Senadofederal. https://goo.gl/2kQ21W,Photo,,,10/24/2018 10:31:00 AM, ,7886,7886,0,10006,10006,0,242,97,128,5,5,6703,5378,0,0,122,0,0,0,0,0,0,0,0,0,0,37,151,24,37,164,39,67,30,8,,89,31,8,,,5,,,,5,,,,
316136345150243_1826592570771272,https://www.facebook.com/camaradeputados/posts/1826592570771272,"A lista deverá estar em local de fácil acesso e, se possível, também nos sites que comercializam estes medicamentos. Pelo texto em debate, a atualização da lista será de responsabilidade do SUS. https://goo.gl/vuXkwX",Photo,,,10/24/2018 7:33:00 AM, ,7986,7986,0,10231,10231,0,217,105,139,2,2,6424,5162,0,0,148,0,0,0,0,0,0,0,0,0,0,59,106,9,59,107,10,59,40,19,,73,45,21,,,2,,,,2,,,,
316136345150243_1826569137440282,https://www.facebook.com/camaradeputados/posts/1826569137440282,"A “pirâmide financeira” é um negócio que recruta progressivamente outras pessoas, alegando ganhos que nunca retornam. No Brasil, a prática já é proibida e a proposta em debate aumenta a pena atual, de seis meses a dois anos de detenção, para quatro a dez anos de reclusão. https://goo.gl/ty7z6z",Photo,,,10/23/2018 3:03:00 PM, ,14201,14201,0,17991,17991,0,599,453,597,4,4,10082,7893,0,0,374,0,0,0,0,0,0,0,0,0,0,49,188,49,49,197,64,404,62,9,,524,63,10,,1,3,,,1,3,,,,
316136345150243_1842853592478503,https://www.facebook.com/camaradeputados/posts/1842853592478503,Será criado o Sistema Nacional de Certificação da Produção da Agricultura Familiar e um selo de produção da agricultura familiar para identificar os produtos desse segmento da economia rural. Projeto segue para o @Senadofederal https://goo.gl/6GcZEQ,Photo,,,10/23/2018 10:29:01 AM, ,6124,6124,0,7897,7897,0,132,73,115,3,3,6170,4664,0,0,99,0,0,0,0,0,0,0,0,0,0,20,61,10,20,63,20,54,21,1,,90,24,1,,,3,,,,3,,,,
316136345150243_1826195994144263,https://www.facebook.com/camaradeputados/posts/1826195994144263,"A pena atual estabelecida para fuga de presos com uso de violência no Código Penal é de três meses a um ano de detenção e, se a proposta for aprovada, passará a seis meses a dois anos. https://goo.gl/DAN7V5",Photo,,,10/23/2018 7:35:00 AM, ,6957,6957,0,8991,8991,0,273,161,214,4,4,7846,6142,0,0,235,0,0,0,0,0,0,0,0,0,0,22,131,33,24,133,59,127,34,4,,176,34,4,,,4,,,,4,,,,
316136345150243_1842845039146025,https://www.facebook.com/camaradeputados/posts/1842845039146025,"A proposta proíbe a terceirização de qualquer etapa da impressão a empresas sediadas no exterior, podendo ser feita apenas por aquelas instaladas no Brasil. Projeto segue para o @Senadofederal. https://goo.gl/dU5ryj",Photo,,,10/22/2018 3:00:01 PM, ,9428,9428,0,11919,11919,0,425,333,428,2,2,10386,8203,0,0,362,0,0,0,0,0,0,0,0,0,0,12,138,38,12,147,51,299,41,16,,364,46,18,,1,1,,,1,1,,,,
316136345150243_1843128042451058,https://www.facebook.com/camaradeputados/posts/1843128042451058,Veja o relatório do debate sobre a intervenção que aconteceu nas redes sociais nessa última semana: https://goo.gl/2opLFE #olerj,Photo,,,10/22/2018 10:30:00 AM, ,5323,5323,0,6804,6804,0,77,64,83,4,4,6123,4684,0,0,73,0,0,0,0,0,0,0,0,0,0,2,17,1,2,17,2,42,21,9,,51,21,11,,2,2,,,2,2,,,,
316136345150243_1843086029121926,https://www.facebook.com/camaradeputados/posts/1843086029121926:0,Dicionário legislativo,Photo,,,10/22/2018 9:28:48 AM, ,5332,5332,0,6865,6865,0,104,74,91,4,4,6124,4391,0,0,89,0,0,0,0,0,0,0,0,0,0,9,28,2,9,30,2,49,27,5,,56,29,6,,1,3,,,1,3,,,,
